game_id,home_team,away_team,stadium,day_or_night,home_pitcher,away_pitcher,home_pitcher_true_freq,away_pitcher_true_freq,home_pitcher_vs_team_freq,away_pitcher_vs_team_freq,home_pitcher_vs_team_freq_count,away_pitcher_vs_team_freq_count,home_pitcher_last3_freq_1st,away_pitcher_last3_freq_1st,home_team_inning1_last10_freq,away_team_inning1_last10_freq,home_team_inning1_scaled,away_team_inning1_scaled,home_team_momentum,away_team_momentum,home_pitcher_momentum,away_pitcher_momentum,home_pitcher_vs_away_team_momentum,away_pitcher_vs_home_team_momentum,home_plate_umpire_inning1_freq,stadium_inning1_freq,stadium_inning1_scaled,umpire_inning1_scaled
777859,Pittsburgh Pirates,Cincinnati Reds,PNC Park,Noche,Mitch Keller,Nick Lodolo,0.25,0.26666666666666666,0.3333333333333333,0.0,3,2,0.6666666666666666,0.6666666666666666,0.1,0.2,0.6566604127579737,0.5982512655315233,-0.5566604127579737,-0.3982512655315233,0.41666666666666663,0.39999999999999997,-0.8149179321981899,-0.9566604127579736,0.4864864864864865,0.4519230769230769,0.2808473252635688,0.7729729729729731
777863,Miami Marlins,Chicago Cubs,loanDepot park,Noche,Edward Cabrera,Ben Brown,0.21428571428571427,0.2222222222222222,0.0,0.0,1,2,0.6666666666666666,0.3333333333333333,0.1,0.1,0.639355908122188,0.5863039399624767,-0.539355908122188,-0.4863039399624767,0.45238095238095233,0.1111111111111111,-0.938684892343429,-0.6504670192332991,0.43243243243243246,0.5533980582524272,0.6630525848898524,0.6148648648648649
777856,Boston Red Sox,New York Mets,Fenway Park,Noche,Hunter Dobbins,Kodai Senga,0.3333333333333333,0.25,-1.0,-1.0,0,0,0.0,0.0,0.1,0.2,0.8677298311444653,0.5698655117392296,-0.7677298311444654,-0.3698655117392296,-0.3333333333333333,-0.25,-0.03653217840589629,-0.5177298311444654,0.3235294117647059,0.5192307692307693,0.5343615775087857,0.29632352941176476
777858,Tampa Bay Rays,Houston Astros,George M. Steinbrenner Field,Noche,Ryan Pepiot,Colton Gordon,0.45,0.0,-1.0,-1.0,0,0,0.3333333333333333,0.0,0.2,0.1,0.6041620049228016,0.6222000995520159,-0.4041620049228016,-0.522200099552016,-0.1166666666666667,0.0,-0.40553343288534927,-0.4041620049228016,0.55,0.6428571428571429,1.0,0.9587500000000001
777861,Minnesota Twins,Cleveland Guardians,Target Field,Noche,Joe Ryan,,0.13333333333333333,0.0,0.0,-1.0,1,0,0.3333333333333333,0.0,0.4,0.2,0.7973733583489682,0.5393996247654784,-0.39737335834896814,-0.3393996247654784,0.19999999999999998,0.0,-0.5393996247654784,-0.39737335834896814,0.4722222222222222,0.5480769230769231,0.6430105427567356,0.73125
777857,Chicago White Sox,Seattle Mariners,Rate Field,Noche,Davis Martin,Luis Castillo,0.5555555555555556,0.35294117647058826,-1.0,-1.0,0,0,0.3333333333333333,0.3333333333333333,0.1,0.2,0.5926601322087988,0.926829268292683,-0.4926601322087988,-0.7268292682926829,-0.22222222222222227,-0.019607843137254943,-0.5046070460704606,-0.47305228907154384,0.5641025641025641,0.5714285714285714,0.7309644670050759,1.0
777860,Milwaukee Brewers,Baltimore Orioles,American Family Field,Noche,Rob Zastryzny,Dean Kremer,0.0,0.3157894736842105,-1.0,0.0,0,1,0.3333333333333333,0.3333333333333333,0.2,0.2,0.6097560975609756,0.6332082551594748,-0.4097560975609756,-0.43320825515947475,0.3333333333333333,0.017543859649122806,-0.7665415884928081,-0.4272999572100984,0.5116279069767442,0.5,0.46192893401015217,0.8465116279069769
777862,St. Louis Cardinals,Detroit Tigers,Busch Stadium,Noche,Sonny Gray,Sean Guenther,0.09090909090909091,0.0,-1.0,-1.0,0,0,0.3333333333333333,0.0,0.3,0.4,0.501481650330522,0.7132995858260469,-0.20148165033052207,-0.3132995858260469,0.2424242424242424,0.0,-0.5557238282502893,-0.20148165033052207,0.5,0.37735849056603776,0.0,0.8125
777852,Colorado Rockies,Philadelphia Phillies,Coors Field,Noche,Kyle Freeland,Cristopher Sánchez,0.42857142857142855,0.35294117647058826,0.0,0.3333333333333333,1,3,1.0,0.0,0.3,0.3,0.7433217189314751,0.8130081300813008,-0.44332171893147515,-0.5130081300813008,0.5714285714285714,-0.35294117647058826,-1.0844367015098721,-0.09038054246088689,0.2222222222222222,0.5728155339805825,0.7361884579370161,0.0
777855,San Francisco Giants,Kansas City Royals,Oracle Park,Noche,Robbie Ray,Kris Bubic,0.4,0.0,-1.0,-1.0,0,0,0.6666666666666666,0.0,0.3,0.1,0.6761651774933591,0.5574912891986062,-0.37616517749335915,-0.45749128919860627,0.2666666666666666,0.0,-0.7241579558652729,-0.37616517749335915,0.40540540540540543,0.46534653465346537,0.3314067447353872,0.535810810810811
777853,Athletics,Los Angeles Angels,Sutter Health Park,Noche,J.T. Ginn,José Soriano,0.16666666666666666,0.17647058823529413,-1.0,-1.0,0,0,0.0,0.0,0.4,0.5,0.8130081300813008,0.5807200929152149,-0.4130081300813008,-0.08072009291521487,-0.16666666666666666,-0.17647058823529413,0.08594657375145179,-0.23653754184600664,0.5526315789473685,0.5238095238095238,0.5516074450084602,0.9664473684210528
777854,Los Angeles Dodgers,Arizona Diamondbacks,Dodger Stadium,Noche,Jack Dreyer,Brandon Pfaadt,0.0,0.19047619047619047,-1.0,0.0,0,3,0.0,0.0,0.5,0.4,1.0,0.8998342410608573,-0.5,-0.4998342410608573,0.0,-0.19047619047619047,-0.4998342410608573,-0.30952380952380953,0.36363636363636365,0.54,0.6125888324873097,0.4136363636363637
