game_id,home_team,away_team,stadium,day_or_night,home_pitcher,away_pitcher,home_pitcher_true_freq,away_pitcher_true_freq,home_pitcher_vs_team_freq,away_pitcher_vs_team_freq,home_pitcher_vs_team_freq_count,away_pitcher_vs_team_freq_count,home_pitcher_last3_freq_1st,away_pitcher_last3_freq_1st,home_team_inning1_last10_freq,away_team_inning1_last10_freq,home_team_inning1_scaled,away_team_inning1_scaled,home_team_momentum,away_team_momentum,home_pitcher_momentum,away_pitcher_momentum,home_pitcher_vs_away_team_momentum,away_pitcher_vs_home_team_momentum,home_plate_umpire_inning1_freq,stadium_inning1_freq,stadium_inning1_scaled,umpire_inning1_scaled
779059,St. Louis Cardinals,Houston Astros,Roger Dean Chevrolet Stadium,Día,Sonny Gray,Framber Valdez,0.09090909090909091,0.2222222222222222,0.0,0.0,1,1,0.3333333333333333,0.0,0.3,0.1,0.501481650330522,0.6222000995520159,-0.20148165033052207,-0.522200099552016,0.2424242424242424,-0.2222222222222222,-0.7646243419762584,0.020740571891700144,0.2222222222222222,0,,0.30769230769230765
778901,Philadelphia Phillies,Minnesota Twins,BayCare Ballpark,Día,Zack Wheeler,Pablo López,0.045454545454545456,0.25,0.0,-1.0,1,0,0.0,0.3333333333333333,0.3,0.4,0.9615384615384616,0.621260929590428,-0.6615384615384616,-0.22126092959042798,-0.045454545454545456,0.08333333333333331,-0.1758063841358825,-0.7448717948717949,0.5526315789473685,0,,0.7651821862348179
778961,Tampa Bay Rays,Atlanta Braves,Charlotte Sports Park,Día,Drew Rasmussen,Chris Sale,0.25,0.4166666666666667,0.0,1.0,1,2,0.3333333333333333,0.0,0.2,0.1,0.6041620049228016,0.5292222733548091,-0.4041620049228016,-0.4292222733548091,0.08333333333333331,-0.4166666666666667,-0.5125556066881425,0.012504661743865109,0.0,0,,0.0
778947,Toronto Blue Jays,Philadelphia Phillies,TD Ballpark,Día,José Berríos,Joe Ross,0.09523809523809523,0.4,1.0,-1.0,1,0,0.0,0.0,0.3,0.3,0.7412721186035389,0.8130081300813008,-0.44127211860353893,-0.5130081300813008,-0.09523809523809523,-0.4,-0.4177700348432055,-0.04127211860353891,0.42105263157894735,0,,0.582995951417004
778885,New York Mets,St. Louis Cardinals,Clover Park,Día,Clay Holmes,Michael McGreevy,0.25,0.0,0.5,-1.0,2,0,0.3333333333333333,0.0,0.2,0.3,0.5698655117392296,0.6323396567299007,-0.3698655117392296,-0.3323396567299007,0.08333333333333331,0.0,-0.415672990063234,-0.3698655117392296,0.55,0,,0.7615384615384616
779148,Los Angeles Angels,Texas Rangers,Tempe Diablo Stadium,Día,Kyle Hendricks,Nathan Eovaldi,0.2857142857142857,0.3684210526315789,0.0,0.0,1,1,0.6666666666666666,0.0,0.5,0.4,0.6341463414634146,0.8911819887429644,-0.13414634146341464,-0.49118198874296437,0.38095238095238093,-0.3684210526315789,-0.8721343696953453,0.23427471116816428,0.0,0,,0.0
779131,Athletics,Kansas City Royals,Hohokam Stadium,Día,Luis Severino,Cole Ragans,0.18181818181818182,0.14285714285714285,0.0,-1.0,1,0,0.0,0.3333333333333333,0.4,0.1,0.8130081300813008,0.5574912891986062,-0.4130081300813008,-0.45749128919860627,-0.18181818181818182,0.19047619047619047,-0.27567310738042444,-0.6034843205574912,0.5294117647058824,0,,0.7330316742081449
778747,Chicago Cubs,San Diego Padres,Sloan Park,Día,Cade Horton,Michael King,0.0,0.21052631578947367,-1.0,-1.0,0,0,0.0,0.0,0.1,0.5,0.6695361071257773,0.8130081300813008,-0.5695361071257773,-0.3130081300813008,0.0,-0.21052631578947367,-0.3130081300813008,-0.3590097913363036,0.41935483870967744,0,,0.5806451612903226
778919,Kansas City Royals,Seattle Mariners,Surprise Stadium,Día,Michael Lorenzen,Logan Evans,0.13333333333333333,0.0,-1.0,-1.0,0,0,0.0,0.3333333333333333,0.1,0.2,0.7433217189314751,0.926829268292683,-0.6433217189314752,-0.7268292682926829,-0.13333333333333333,0.3333333333333333,-0.5934959349593496,-0.9766550522648085,0.7222222222222222,0,,1.0
778980,San Francisco Giants,Cleveland Guardians,Scottsdale Stadium,Día,Logan Webb,Ben Lively,0.2777777777777778,0.09090909090909091,-1.0,-1.0,0,0,0.3333333333333333,0.0,0.3,0.2,0.6761651774933591,0.5393996247654784,-0.37616517749335915,-0.3393996247654784,0.055555555555555525,-0.09090909090909091,-0.39495518032103394,-0.28525608658426826,0.0,0,,0.0
778811,Cincinnati Reds,Chicago White Sox,Goodyear Ballpark,Día,Brady Singer,Sean Burke,0.30434782608695654,0.4,0.0,-1.0,4,0,0.6666666666666666,0.0,0.2,0.1,0.6566604127579737,0.5919962112242482,-0.4566604127579737,-0.4919962112242482,0.3623188405797101,-0.4,-0.8543150518039583,-0.05666041275797368,0.6428571428571429,0,,0.8901098901098902
778777,Colorado Rockies,Los Angeles Angels,Salt River Fields at Talking Stick,Día,Antonio Senzatela,Yusei Kikuchi,0.6666666666666666,0.2,-1.0,-1.0,0,0,0.6666666666666666,0.0,0.3,0.5,0.7433217189314751,0.5807200929152149,-0.44332171893147515,-0.08072009291521487,0.0,-0.2,-0.08072009291521487,-0.24332171893147514,0.30303030303030304,0,,0.4195804195804196
