game_id,date,home_team,away_team,home_score,away_score,home_hits,away_hits,home_errors,away_errors,status,game_time,day_or_night,stadium,home_plate_umpire,inning_1_away,inning_1_home,inning_2_away,inning_2_home,inning_3_away,inning_3_home,inning_4_away,inning_4_home,inning_5_away,inning_5_home,inning_6_away,inning_6_home,inning_7_away,inning_7_home,inning_8_away,inning_8_home,inning_9_away,inning_9_home,inning_10_away,inning_10_home,inning_11_away,inning_11_home,inning_12_away,inning_12_home,inning_13_away,inning_13_home,inning_14_away,inning_14_home
746167,29/03/2024,Los Angeles Dodgers,St. Louis Cardinals,6,3,7,6,0,0,Final,29/03/2024 22:10,Noche,Dodger Stadium,Ryan Blakney,0,1,0,1,0,0,0,3,0,0,0,0,0,1,3,0,0,,,,,,,,,,,
745850,30/03/2024,New York Mets,Milwaukee Brewers,6,7,12,15,2,0,Final,30/03/2024 13:40,Dia,Citi Field,Lance Barrett,3,0,0,1,2,1,0,0,1,0,0,0,0,0,1,3,0,1,,,,,,,,,,
746818,30/03/2024,Chicago White Sox,Detroit Tigers,6,7,10,12,0,2,Final,30/03/2024 14:10,Dia,Guaranteed Rate Field,Mark Carlson,3,2,0,1,0,2,0,1,1,0,0,0,2,0,0,0,0,0,1,0,,,,,,,,
747063,30/03/2024,Baltimore Orioles,Los Angeles Angels,13,4,14,9,1,1,Final,30/03/2024 16:05,Dia,Oriole Park at Camden Yards,Scott Barry,0,2,0,0,0,1,1,0,0,0,0,9,0,0,0,1,3,,,,,,,,,,,
745599,30/03/2024,Philadelphia Phillies,Atlanta Braves,4,12,8,18,1,0,Final,30/03/2024 16:05,Dia,Citizens Bank Park,Bruce Dreckman,2,3,3,0,2,1,0,0,0,0,4,0,0,0,0,0,1,0,,,,,,,,,,
745684,30/03/2024,Oakland Athletics,Cleveland Guardians,3,12,6,15,2,0,Final,30/03/2024 16:07,Dia,Oakland Coliseum,John Tumpane,0,0,2,2,0,1,3,0,2,0,2,0,1,0,0,0,2,0,,,,,,,,,,
746736,30/03/2024,Cincinnati Reds,Washington Nationals,6,7,10,11,0,0,Final,30/03/2024 16:10,Dia,Great American Ball Park,CB Bucknor,0,0,0,0,0,0,1,1,1,3,0,0,1,0,1,2,3,0,,,,,,,,,,
745119,30/03/2024,Tampa Bay Rays,Toronto Blue Jays,5,1,11,6,0,1,Final,30/03/2024 16:10,Dia,Tropicana Field,Manny Gonzalez,0,0,0,0,0,1,0,0,0,2,0,0,1,1,0,1,0,,,,,,,,,,,
746333,30/03/2024,Kansas City Royals,Minnesota Twins,1,5,5,7,2,0,Final,30/03/2024 16:10,Dia,Kauffman Stadium,Tripp Gibson,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,0,,,,,,,,,,
746087,30/03/2024,Miami Marlins,Pittsburgh Pirates,3,9,5,16,1,1,Final,30/03/2024 16:10,Dia,loanDepot park,Gabe Morales,0,0,0,0,1,0,2,2,2,0,0,1,4,0,0,0,0,0,,,,,,,,,,
